Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-1486.955	-1582.001	95.04587	0.8568621	2.567199	0.37302	0.62698	3.967128
6	-1488.096	-1582.955	94.85875	1.091136	3.54892	0.514212	0.485788	3.702389
12	-1486.235	-1582.058	95.82286	1.198513	2.515756	0.511315	0.488685	3.333242
18	-1480.709	-1576.295	95.5858	0.9952707	2.476406	0.485494	0.514506	3.601827
24	-1497.417	-1591.634	94.21715	0.5176338	1.666876	0.545107	0.454893	4.913218
30	-1495.201	-1589.464	94.26238	0.5176338	2.205939	0.545725	0.454275	4.706175
36	-1482.193	-1576.016	93.82327	0.6359809	1.396061	0.457918	0.542082	5.174945
42	-1496.831	-1589.977	93.14527	0.6879184	1.818657	0.375245	0.624755	5.357709
48	-1501.112	-1595.021	93.90888	0.669158	2.260562	0.667212	0.332788	4.802616
54	-1508.674	-1602.23	93.55569	0.8777238	2.304565	0.430921	0.569079	4.870298
60	-1495.804	-1590.557	94.75259	0.7424801	2.233266	0.393044	0.606956	4.295622
66	-1493.413	-1588.173	94.7596	1.113706	2.148859	0.511287	0.488713	4.107109
72	-1488.488	-1582.609	94.12114	0.7892323	2.215673	0.456398	0.543602	4.630222
78	-1486.464	-1582.567	96.10367	1.022349	2.268851	0.503994	0.496006	3.345676
84	-1483.659	-1579.52	95.86075	0.9428186	2.029314	0.466961	0.533039	3.611577
90	-1479.828	-1574.066	94.23795	0.7705024	2.0634	0.333049	0.666951	4.622738
96	-1479.26	-1573.37	94.11017	0.8908783	2.003546	0.517863	0.482137	4.646308
102	-1495.51	-1589.311	93.80063	0.7314009	2.650101	0.517863	0.482137	4.719623
108	-1493.169	-1587.624	94.45452	0.821968	1.743477	0.517863	0.482137	4.58201
114	-1498.376	-1592.786	94.41007	0.8629911	1.920027	0.557548	0.442452	4.521575
120	-1489.993	-1583.652	93.65896	0.7413701	2.37057	0.601935	0.398065	4.869661
126	-1484.725	-1578.086	93.36064	0.6678349	2.142313	0.563818	0.436182	5.143885
132	-1478.248	-1573.163	94.91502	1.075085	2.45635	0.563818	0.436182	3.948201
138	-1473.919	-1570.503	96.5847	1.056835	2.194037	0.513746	0.486254	3.064088
144	-1484.51	-1579.832	95.32292	0.957713	1.911537	0.619276	0.380724	3.953192
150	-1481.765	-1576.131	94.36619	0.5944632	1.911537	0.586429	0.413571	4.699666
156	-1485.385	-1579.598	94.21237	0.7542495	2.198387	0.503405	0.496595	4.603944
162	-1485.775	-1579.237	93.46174	0.5067391	1.969777	0.503405	0.496595	5.231906
168	-1479.129	-1572.516	93.3865	0.7490792	1.703657	0.512564	0.487436	5.231906
174	-1490.85	-1584.562	93.71196	0.6672437	1.698783	0.560065	0.439935	5.098836
180	-1481.791	-1576.771	94.98025	0.8631664	2.154355	0.450085	0.549915	4.122386
186	-1483.605	-1579.835	96.23056	1.166042	1.678738	0.641545	0.358455	3.393236
